local_id,name,canonical_name,category_name,status,problem,page_url,inventory_image_url,world_image_url,color_image_url,inventory_image_path,world_image_path,color_image_path,internal_item_id,internal_tile_id
10,Boreal Wood,boreal wood,Grown,ok,,https://terraria.wiki.gg/wiki/Boreal_Wood,https://terraria.wiki.gg/images/Boreal_Wood.png?905ee3,https://terraria.wiki.gg/images/Boreal_Wood_%28placed%29.png?747c54,https://terraria.wiki.gg/images/Boreal_Wood_%28placed%29.png?747c54,images\inventory\10_boreal_wood_inventory.png,images\world\10_boreal_wood_world.png,images\color\10_boreal_wood_color.png,2503,321
11,Leaf Block,leaf block,Other Found,ok,,https://terraria.wiki.gg/wiki/Leaf_Block,https://terraria.wiki.gg/images/Leaf_Block.png?90f7c6,https://terraria.wiki.gg/images/Leaf_Block_%28placed%29.png?5fa7e5,https://terraria.wiki.gg/images/Leaf_Block_%28placed%29.png?5fa7e5,images\inventory\11_leaf_block_inventory.png,images\world\11_leaf_block_world.png,images\color\11_leaf_block_color.png,,192
12,Inactive Stone Block,inactive stone block,Trap Blocks,problem,missing_inventory_image,https://terraria.wiki.gg/wiki/Inactive_Stone_Block,,https://terraria.wiki.gg/images/Stone_Block_%28placed%29.png?192aca,https://terraria.wiki.gg/images/Stone_Block_%28placed%29.png?192aca,,images\world\12_inactive_stone_block_world.png,images\color\12_inactive_stone_block_color.png,511,130
13,Tin Ore,tin ore,Ore,ok,,https://terraria.wiki.gg/wiki/Tin_Ore,https://terraria.wiki.gg/images/Tin_Ore.png?b16c1e,https://terraria.wiki.gg/images/Tin_Ore_%28placed%29.png?8e9db4,https://terraria.wiki.gg/images/Tin_Ore_%28placed%29.png?8e9db4,images\inventory\13_tin_ore_inventory.png,images\world\13_tin_ore_world.png,images\color\13_tin_ore_color.png,699,166
14,Red Brick,red brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Red_Brick,https://terraria.wiki.gg/images/Red_Brick.png?48aca8,https://terraria.wiki.gg/images/Red_Brick_%28placed%29.png?b5b534,https://terraria.wiki.gg/images/Red_Brick_%28placed%29.png?b5b534,images\inventory\14_red_brick_inventory.png,images\world\14_red_brick_world.png,images\color\14_red_brick_color.png,131,39
15,Feywood,feywood,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Feywood,https://terraria.wiki.gg/images/Feywood.png?76c07b,https://terraria.wiki.gg/images/Feywood_%28placed%29.png?d5683a,https://terraria.wiki.gg/images/Feywood_%28placed%29.png?d5683a,images\inventory\15_feywood_inventory.png,images\world\15_feywood_world.png,images\color\15_feywood_color.png,5710,734
16,Blue Dynasty Shingles,blue dynasty shingles,Purchased,problem,missing_inventory_image,https://terraria.wiki.gg/wiki/Blue_Dynasty_Shingles,,https://terraria.wiki.gg/images/Red_Dynasty_Shingles_%28placed%29.png?b23fc5,https://terraria.wiki.gg/images/Red_Dynasty_Shingles_%28placed%29.png?b23fc5,,images\world\16_blue_dynasty_shingles_world.png,images\color\16_blue_dynasty_shingles_color.png,2261,312
17,Green Candy Cane Block,green candy cane block,Looted,problem,missing_inventory_image,https://terraria.wiki.gg/wiki/Green_Candy_Cane_Block,,https://terraria.wiki.gg/images/Candy_Cane_Block_%28placed%29.png?9059e5,https://terraria.wiki.gg/images/Candy_Cane_Block_%28placed%29.png?9059e5,,images\world\17_green_candy_cane_block_world.png,images\color\17_green_candy_cane_block_color.png,586,145
18,Ebonstone Block,ebonstone block,Soil,ok,,https://terraria.wiki.gg/wiki/Ebonstone_Block,https://terraria.wiki.gg/images/Ebonstone_Block.png?a628db,https://terraria.wiki.gg/images/Ebonstone_Block_%28placed%29.png?9e0d98,https://terraria.wiki.gg/images/Ebonstone_Block_%28placed%29.png?9e0d98,images\inventory\18_ebonstone_block_inventory.png,images\world\18_ebonstone_block_world.png,images\color\18_ebonstone_block_color.png,61,25
19,Palm Wood,palm wood,Grown,ok,,https://terraria.wiki.gg/wiki/Palm_Wood,https://terraria.wiki.gg/images/Palm_Wood.png?e5e305,https://terraria.wiki.gg/images/Palm_Wood_%28placed%29.png?31615f,https://terraria.wiki.gg/images/Palm_Wood_%28placed%29.png?31615f,images\inventory\19_palm_wood_inventory.png,images\world\19_palm_wood_world.png,images\color\19_palm_wood_color.png,2504,322
20,Living Mahogany,living mahogany,Other Found,ok,,https://terraria.wiki.gg/wiki/Living_Mahogany,https://terraria.wiki.gg/images/Living_Mahogany.png?fe335b,https://terraria.wiki.gg/images/Living_Mahogany_%28placed%29.png?95fe05,https://terraria.wiki.gg/images/Living_Mahogany_%28placed%29.png?95fe05,images\inventory\20_living_mahogany_inventory.png,images\world\20_living_mahogany_world.png,images\color\20_living_mahogany_color.png,,383
21,Explosives,explosives,Trap Blocks,ok,,https://terraria.wiki.gg/wiki/Explosives,https://terraria.wiki.gg/images/Explosives.png?831301,https://terraria.wiki.gg/images/Explosives_%28placed%29.png?bf4274,https://terraria.wiki.gg/images/Explosives_%28placed%29.png?bf4274,images\inventory\21_explosives_inventory.png,images\world\21_explosives_world.png,images\color\21_explosives_color.png,580,141
22,Iron Ore,iron ore,Ore,ok,,https://terraria.wiki.gg/wiki/Iron_Ore,https://terraria.wiki.gg/images/Iron_Ore.png?6192ca,https://terraria.wiki.gg/images/Iron_Ore_%28placed%29.png?2b9d0d,https://terraria.wiki.gg/images/Iron_Ore_%28placed%29.png?2b9d0d,images\inventory\22_iron_ore_inventory.png,images\world\22_iron_ore_world.png,images\color\22_iron_ore_color.png,11,6
23,Sandstone Brick,sandstone brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Sandstone_Brick,https://terraria.wiki.gg/images/Sandstone_Brick.png?28a0ef,https://terraria.wiki.gg/images/Sandstone_Brick_%28placed%29.png?d7c8bd,https://terraria.wiki.gg/images/Sandstone_Brick_%28placed%29.png?d7c8bd,images\inventory\23_sandstone_brick_inventory.png,images\world\23_sandstone_brick_world.png,images\color\23_sandstone_brick_color.png,607,151
24,Flinx Fur Block,flinx fur block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Flinx_Fur_Block,https://terraria.wiki.gg/images/Flinx_Fur_Block.png?47bc66,https://terraria.wiki.gg/images/Flinx_Fur_Block_%28placed%29.png?232ee8,https://terraria.wiki.gg/images/Flinx_Fur_Block_%28placed%29.png?232ee8,images\inventory\24_flinx_fur_block_inventory.png,images\world\24_flinx_fur_block_world.png,images\color\24_flinx_fur_block_color.png,5924,738
25,Red Dynasty Shingles,red dynasty shingles,Purchased,ok,,https://terraria.wiki.gg/wiki/Red_Dynasty_Shingles,https://terraria.wiki.gg/images/Red_Dynasty_Shingles.png?c48ab5,https://terraria.wiki.gg/images/Red_Dynasty_Shingles_%28placed%29.png?b23fc5,https://terraria.wiki.gg/images/Red_Dynasty_Shingles_%28placed%29.png?b23fc5,images\inventory\25_red_dynasty_shingles_inventory.png,images\world\25_red_dynasty_shingles_world.png,images\color\25_red_dynasty_shingles_color.png,2261,312
26,Pine Tree Block,pine tree block,Looted,ok,,https://terraria.wiki.gg/wiki/Pine_Tree_Block,https://terraria.wiki.gg/images/Pine_Tree_Block.png?3ac4c3,https://terraria.wiki.gg/images/Pine_Tree_Block_%28placed%29.png?84814f,https://terraria.wiki.gg/images/Pine_Tree_Block_%28placed%29.png?84814f,images\inventory\26_pine_tree_block_inventory.png,images\world\26_pine_tree_block_world.png,images\color\26_pine_tree_block_color.png,1872,170
27,Crimstone,crimstone,Soil,ok,,https://terraria.wiki.gg/wiki/Crimstone,https://terraria.wiki.gg/images/Crimstone_Block.png?c42bba,https://terraria.wiki.gg/images/Crimstone_Block_%28placed%29.png?5da210,https://terraria.wiki.gg/images/Crimstone_Block_%28placed%29.png?5da210,images\inventory\27_crimstone_inventory.png,images\world\27_crimstone_world.png,images\color\27_crimstone_color.png,836,203
28,Rich Mahogany,rich mahogany,Grown,ok,,https://terraria.wiki.gg/wiki/Rich_Mahogany,https://terraria.wiki.gg/images/Rich_Mahogany.png?c51e26,https://terraria.wiki.gg/images/Rich_Mahogany_%28placed%29.png?5a4b33,https://terraria.wiki.gg/images/Rich_Mahogany_%28placed%29.png?5a4b33,images\inventory\28_rich_mahogany_inventory.png,images\world\28_rich_mahogany_world.png,images\color\28_rich_mahogany_color.png,620,158
29,Mahogany Leaf,mahogany leaf,Other Found,problem,exception,https://terraria.wiki.gg/wiki/Mahogany_Leaf,,,,,,,,
30,Dart Trap,dart trap,Trap Blocks,problem,missing_world_image,https://terraria.wiki.gg/wiki/Dart_Trap,https://terraria.wiki.gg/images/Dart_Trap.png?4d3921,,,images\inventory\30_dart_trap_inventory.png,,,539,137
31,Lead Ore,lead ore,Ore,ok,,https://terraria.wiki.gg/wiki/Lead_Ore,https://terraria.wiki.gg/images/Lead_Ore.png?7062d5,https://terraria.wiki.gg/images/Lead_Ore_%28placed%29.png?c93e0c,https://terraria.wiki.gg/images/Lead_Ore_%28placed%29.png?c93e0c,images\inventory\31_lead_ore_inventory.png,images\world\31_lead_ore_world.png,images\color\31_lead_ore_color.png,700,167
32,Snow Brick,snow brick,Bricks,problem,missing_inventory_image_and_world_image,https://terraria.wiki.gg/wiki/Snow_Brick,,,,,,,594,148
33,Pine Wood,pine wood,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Pine_Wood,https://terraria.wiki.gg/images/Pine_Wood.png?52fe6d,https://terraria.wiki.gg/images/Pine_Wood_%28placed%29.png?4eb5ae,https://terraria.wiki.gg/images/Pine_Wood_%28placed%29.png?4eb5ae,images\inventory\33_pine_wood_inventory.png,images\world\33_pine_wood_world.png,images\color\33_pine_wood_color.png,5930,741
34,Easter Block,easter block,Purchased,ok,,https://terraria.wiki.gg/wiki/Easter_Block,https://terraria.wiki.gg/images/Easter_Block.png?f2a298,https://terraria.wiki.gg/images/Easter_Block_%28placed%29.png?711274,https://terraria.wiki.gg/images/Easter_Block_%28placed%29.png?711274,images\inventory\34_easter_block_inventory.png,images\world\34_easter_block_world.png,images\color\34_easter_block_color.png,5920,736
35,Bone Block,bone block,Looted,ok,,https://terraria.wiki.gg/wiki/Bone_Block,https://terraria.wiki.gg/images/Bone_Block.png?b9e684,https://terraria.wiki.gg/images/Bone_Block_%28placed%29.png?faa5a7,https://terraria.wiki.gg/images/Bone_Block_%28placed%29.png?faa5a7,images\inventory\35_bone_block_inventory.png,images\world\35_bone_block_world.png,images\color\35_bone_block_color.png,766,194
36,Pearlstone Block,pearlstone block,Soil,ok,,https://terraria.wiki.gg/wiki/Pearlstone_Block,https://terraria.wiki.gg/images/Pearlstone_Block.png?d81e94,https://terraria.wiki.gg/images/Pearlstone_Block_%28placed%29.png?236ca3,https://terraria.wiki.gg/images/Pearlstone_Block_%28placed%29.png?236ca3,images\inventory\36_pearlstone_block_inventory.png,images\world\36_pearlstone_block_world.png,images\color\36_pearlstone_block_color.png,409,117
37,Ebonwood,ebonwood,Grown,ok,,https://terraria.wiki.gg/wiki/Ebonwood,https://terraria.wiki.gg/images/Ebonwood.png?9983da,https://terraria.wiki.gg/images/Ebonwood_%28placed%29.png?7cd337,https://terraria.wiki.gg/images/Ebonwood_%28placed%29.png?7cd337,images\inventory\37_ebonwood_inventory.png,images\world\37_ebonwood_world.png,images\color\37_ebonwood_color.png,619,157
38,Thin Ice,thin ice,Other Found,ok,,https://terraria.wiki.gg/wiki/Thin_Ice,https://terraria.wiki.gg/images/Thin_Ice.png?1c86f0,https://terraria.wiki.gg/images/Thin_Ice_%28placed%29.png?e2575e,https://terraria.wiki.gg/images/Thin_Ice_%28placed%29.png?e2575e,images\inventory\38_thin_ice_inventory.png,images\world\38_thin_ice_world.png,images\color\38_thin_ice_color.png,4391,162
39,Venom Dart Trap,venom dart trap,Trap Blocks,problem,missing_inventory_image_and_world_image,https://terraria.wiki.gg/wiki/Venom_Dart_Trap,,,,,,,5135,137
40,Silver Ore,silver ore,Ore,ok,,https://terraria.wiki.gg/wiki/Silver_Ore,https://terraria.wiki.gg/images/Silver_Ore.png?c96b6d,https://terraria.wiki.gg/images/Silver_Ore_%28placed%29.png?210c6c,https://terraria.wiki.gg/images/Silver_Ore_%28placed%29.png?210c6c,images\inventory\40_silver_ore_inventory.png,images\world\40_silver_ore_world.png,images\color\40_silver_ore_color.png,14,9
41,Ice Brick,ice brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Ice_Brick,https://terraria.wiki.gg/images/Ice_Brick.png?a14bbc,https://terraria.wiki.gg/images/Ice_Brick_%28placed%29.png?74033d,https://terraria.wiki.gg/images/Ice_Brick_%28placed%29.png?74033d,images\inventory\41_ice_brick_inventory.png,images\world\41_ice_brick_world.png,images\color\41_ice_brick_color.png,883,206
42,Librarian Block,librarian block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Librarian_Block,https://terraria.wiki.gg/images/Librarian_Block.png?ce13a7,https://terraria.wiki.gg/images/Librarian_Block_%28placed%29.png?a686b3,https://terraria.wiki.gg/images/Librarian_Block_%28placed%29.png?a686b3,images\inventory\42_librarian_block_inventory.png,images\world\42_librarian_block_world.png,images\color\42_librarian_block_color.png,6019,744
43,Red Team Block,red team block,Purchased,problem,missing_world_image,https://terraria.wiki.gg/wiki/Red_Team_Block,https://terraria.wiki.gg/images/Red_Team_Block.png?3b7784,,,images\inventory\43_red_team_block_inventory.png,,,3621,426
44,Spooky Wood,spooky wood,Looted,ok,,https://terraria.wiki.gg/wiki/Spooky_Wood,https://terraria.wiki.gg/images/Spooky_Wood.png?f72f58,https://terraria.wiki.gg/images/Spooky_Wood_%28placed%29.png?f20f4e,https://terraria.wiki.gg/images/Spooky_Wood_%28placed%29.png?f20f4e,images\inventory\44_spooky_wood_inventory.png,images\world\44_spooky_wood_world.png,images\color\44_spooky_wood_color.png,1729,253
45,Granite Block,granite block,Soil,ok,,https://terraria.wiki.gg/wiki/Granite_Block,https://terraria.wiki.gg/images/Granite_Block.png?ec19bc,https://terraria.wiki.gg/images/Granite_Block_%28placed%29.png?be730b,https://terraria.wiki.gg/images/Granite_Block_%28placed%29.png?be730b,images\inventory\45_granite_block_inventory.png,images\world\45_granite_block_world.png,images\color\45_granite_block_color.png,3086,368
46,Shadewood,shadewood,Grown,ok,,https://terraria.wiki.gg/wiki/Shadewood,https://terraria.wiki.gg/images/Shadewood.png?470359,https://terraria.wiki.gg/images/Shadewood_%28placed%29.png?66b1bb,https://terraria.wiki.gg/images/Shadewood_%28placed%29.png?66b1bb,images\inventory\46_shadewood_inventory.png,images\world\46_shadewood_world.png,images\color\46_shadewood_color.png,911,208
47,Cloud,cloud,Other Found,ok,,https://terraria.wiki.gg/wiki/Cloud,https://terraria.wiki.gg/images/Cloud.png?87b120,https://terraria.wiki.gg/images/Cloud_%28placed%29.png?a65614,https://terraria.wiki.gg/images/Cloud_%28placed%29.png?a65614,images\inventory\47_cloud_inventory.png,images\world\47_cloud_world.png,images\color\47_cloud_color.png,751,189
48,Super Dart Trap,super dart trap,Trap Blocks,problem,missing_world_image,https://terraria.wiki.gg/wiki/Super_Dart_Trap,https://terraria.wiki.gg/images/Super_Dart_Trap.png?6e1e10,,,images\inventory\48_super_dart_trap_inventory.png,,,1146,137
49,Tungsten Ore,tungsten ore,Ore,ok,,https://terraria.wiki.gg/wiki/Tungsten_Ore,https://terraria.wiki.gg/images/Tungsten_Ore.png?be573b,https://terraria.wiki.gg/images/Tungsten_Ore_%28placed%29.png?1a8a31,https://terraria.wiki.gg/images/Tungsten_Ore_%28placed%29.png?1a8a31,images\inventory\49_tungsten_ore_inventory.png,images\world\49_tungsten_ore_world.png,images\color\49_tungsten_ore_color.png,701,168
50,Mudstone Brick,mudstone brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Mudstone_Brick,https://terraria.wiki.gg/images/Mudstone_Brick.png?759298,https://terraria.wiki.gg/images/Mudstone_Brick_%28placed%29.png?9b0fbe,https://terraria.wiki.gg/images/Mudstone_Brick_%28placed%29.png?9b0fbe,images\inventory\50_mudstone_brick_inventory.png,images\world\50_mudstone_brick_world.png,images\color\50_mudstone_brick_color.png,414,120
51,Office Block,office block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Office_Block,https://terraria.wiki.gg/images/Office_Block.png?385911,https://terraria.wiki.gg/images/Office_Block_%28placed%29.png?8dd354,https://terraria.wiki.gg/images/Office_Block_%28placed%29.png?8dd354,images\inventory\51_office_block_inventory.png,images\world\51_office_block_world.png,images\color\51_office_block_color.png,6065,746
52,Green Team Block,green team block,Purchased,problem,missing_world_image,https://terraria.wiki.gg/wiki/Green_Team_Block,https://terraria.wiki.gg/images/Green_Team_Block.png?21180e,,,images\inventory\52_green_team_block_inventory.png,,,3621,426
53,Martian Conduit Plating,martian conduit plating,Looted,ok,,https://terraria.wiki.gg/wiki/Martian_Conduit_Plating,https://terraria.wiki.gg/images/Martian_Conduit_Plating.png?c01606,https://terraria.wiki.gg/images/Martian_Conduit_Plating_%28placed%29.png?c0908f,https://terraria.wiki.gg/images/Martian_Conduit_Plating_%28placed%29.png?c0908f,images\inventory\53_martian_conduit_plating_inventory.png,images\world\53_martian_conduit_plating_world.png,images\color\53_martian_conduit_plating_color.png,2860,350
54,Marble Block,marble block,Soil,ok,,https://terraria.wiki.gg/wiki/Marble_Block,https://terraria.wiki.gg/images/Marble_Block.png?2be326,https://terraria.wiki.gg/images/Marble_Block_%28placed%29.png?3daed3,https://terraria.wiki.gg/images/Marble_Block_%28placed%29.png?3daed3,images\inventory\54_marble_block_inventory.png,images\world\54_marble_block_world.png,images\color\54_marble_block_color.png,3081,367
55,Ash Wood,ash wood,Grown,ok,,https://terraria.wiki.gg/wiki/Ash_Wood,https://terraria.wiki.gg/images/Ash_Wood.png?978b55,https://terraria.wiki.gg/images/Ash_Wood_%28placed%29.png?659749,https://terraria.wiki.gg/images/Ash_Wood_%28placed%29.png?659749,images\inventory\55_ash_wood_inventory.png,images\world\55_ash_wood_world.png,images\color\55_ash_wood_color.png,5215,635
56,Rain Cloud,rain cloud,Other Found,ok,,https://terraria.wiki.gg/wiki/Rain_Cloud,https://terraria.wiki.gg/images/Rain_Cloud.png?aca365,https://terraria.wiki.gg/images/Rain_Cloud_%28placed%29.png?9d049a,https://terraria.wiki.gg/images/Rain_Cloud_%28placed%29.png?9d049a,images\inventory\56_rain_cloud_inventory.png,images\world\56_rain_cloud_world.png,images\color\56_rain_cloud_color.png,765,196
57,Spear Trap,spear trap,Trap Blocks,problem,missing_world_image,https://terraria.wiki.gg/wiki/Spear_Trap,https://terraria.wiki.gg/images/Spear_Trap.png?a1ecda,,,images\inventory\57_spear_trap_inventory.png,,,1149,137
58,Sturdy Fossil,sturdy fossil,Ore,ok,,https://terraria.wiki.gg/wiki/Sturdy_Fossil,https://terraria.wiki.gg/images/Sturdy_Fossil.png?39b48f,https://terraria.wiki.gg/images/Sturdy_Fossil_%28placed%29.png?4f5ba8,https://terraria.wiki.gg/images/Sturdy_Fossil_%28placed%29.png?4f5ba8,images\inventory\58_sturdy_fossil_inventory.png,images\world\58_sturdy_fossil_world.png,images\color\58_sturdy_fossil_color.png,3380,407
59,Iridescent Brick,iridescent brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Iridescent_Brick,https://terraria.wiki.gg/images/Iridescent_Brick.png?16a0cb,https://terraria.wiki.gg/images/Iridescent_Brick_%28placed%29.png?dc83cd,https://terraria.wiki.gg/images/Iridescent_Brick_%28placed%29.png?dc83cd,images\inventory\59_iridescent_brick_inventory.png,images\world\59_iridescent_brick_world.png,images\color\59_iridescent_brick_color.png,413,119
60,Grate,grate,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Grate,https://terraria.wiki.gg/images/Grate.png?6e9812,https://terraria.wiki.gg/images/Grate_%28placed%29.png?f70a3c,https://terraria.wiki.gg/images/Grate_%28placed%29.png?f70a3c,images\inventory\60_grate_inventory.png,images\world\60_grate_world.png,images\color\60_grate_color.png,4422,546
61,Blue Team Block,blue team block,Purchased,problem,missing_world_image,https://terraria.wiki.gg/wiki/Blue_Team_Block,https://terraria.wiki.gg/images/Blue_Team_Block.png?575e07,,,images\inventory\61_blue_team_block_inventory.png,,,3621,426
62,Coralstone Block,coralstone block,Looted,ok,,https://terraria.wiki.gg/wiki/Coralstone_Block,https://terraria.wiki.gg/images/Coralstone_Block.png?dfc97e,https://terraria.wiki.gg/images/Coralstone_Block_%28placed%29.png?e805ca,https://terraria.wiki.gg/images/Coralstone_Block_%28placed%29.png?e805ca,images\inventory\62_coralstone_block_inventory.png,images\world\62_coralstone_block_world.png,images\color\62_coralstone_block_color.png,2435,315
63,Sand Block,sand block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Sand_Block,https://terraria.wiki.gg/images/Sand_Block.png?d9b75e,,,images\inventory\63_sand_block_inventory.png,,,169,53
64,Pearlwood,pearlwood,Grown,ok,,https://terraria.wiki.gg/wiki/Pearlwood,https://terraria.wiki.gg/images/Pearlwood.png?757f03,https://terraria.wiki.gg/images/Pearlwood_%28placed%29.png?ac6544,https://terraria.wiki.gg/images/Pearlwood_%28placed%29.png?ac6544,images\inventory\64_pearlwood_inventory.png,images\world\64_pearlwood_world.png,images\color\64_pearlwood_color.png,621,159
65,Snow Cloud,snow cloud,Other Found,problem,missing_inventory_image_and_world_image,https://terraria.wiki.gg/wiki/Snow_Cloud,,,,,,,3756,460
66,Spiky Ball Trap,spiky ball trap,Trap Blocks,problem,missing_world_image,https://terraria.wiki.gg/wiki/Spiky_Ball_Trap,https://terraria.wiki.gg/images/Spiky_Ball_Trap.png?9e952a,,,images\inventory\66_spiky_ball_trap_inventory.png,,,1148,137
67,Gold Ore,gold ore,Ore,ok,,https://terraria.wiki.gg/wiki/Gold_Ore,https://terraria.wiki.gg/images/Gold_Ore.png?582771,https://terraria.wiki.gg/images/Gold_Ore_%28placed%29.png?fc16e2,https://terraria.wiki.gg/images/Gold_Ore_%28placed%29.png?fc16e2,images\inventory\67_gold_ore_inventory.png,images\world\67_gold_ore_world.png,images\color\67_gold_ore_color.png,13,8
68,Copper Brick,copper brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Copper_Brick,https://terraria.wiki.gg/images/Copper_Brick.png?bc2f2c,https://terraria.wiki.gg/images/Copper_Brick_%28placed%29.png?790b25,https://terraria.wiki.gg/images/Copper_Brick_%28placed%29.png?790b25,images\inventory\68_copper_brick_inventory.png,images\world\68_copper_brick_world.png,images\color\68_copper_brick_color.png,145,47
69,Asphalt Block,asphalt block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Asphalt_Block,https://terraria.wiki.gg/images/Asphalt_Block.png?acd627,https://terraria.wiki.gg/images/Asphalt_Block_%28placed%29.png?282295,https://terraria.wiki.gg/images/Asphalt_Block_%28placed%29.png?282295,images\inventory\69_asphalt_block_inventory.png,images\world\69_asphalt_block_world.png,images\color\69_asphalt_block_color.png,775,198
70,Yellow Team Block,yellow team block,Purchased,problem,missing_world_image,https://terraria.wiki.gg/wiki/Yellow_Team_Block,https://terraria.wiki.gg/images/Yellow_Team_Block.png?b17892,,,images\inventory\70_yellow_team_block_inventory.png,,,3621,426
71,Ebonsand Block,ebonsand block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Ebonsand_Block,https://terraria.wiki.gg/images/Ebonsand_Block.png?885669,,,images\inventory\71_ebonsand_block_inventory.png,,,169,53
72,Glowing Mushroom,glowing mushroom,Grown,ok,,https://terraria.wiki.gg/wiki/Glowing_Mushroom,https://terraria.wiki.gg/images/Glowing_Mushroom.png?d5da5e,https://terraria.wiki.gg/images/Glowing_Mushroom_%28placed%29.png?b3a581,https://terraria.wiki.gg/images/Glowing_Mushroom_%28placed%29.png?b3a581,images\inventory\72_glowing_mushroom_inventory.png,images\world\72_glowing_mushroom_world.png,images\color\72_glowing_mushroom_color.png,183,71
