MANUAL FIX REPORT
=================

[74] Flame Trap | WORLD https://terraria.wiki.gg/images/Flame_Trap.png?70d80d | status=complete
[165] Silly Pink Balloon | WORLD https://terraria.wiki.gg/images/Silly_Pink_Balloon_%28placed%29.png?ca3933 | status=complete
[167] Xenon Moss | INVENTORY https://terraria.wiki.gg/images/Xenon_Moss.png?9560f8 | status=missing_world_and_color
[167] Xenon Moss | WORLD https://terraria.wiki.gg/images/Xenon_Moss_%28placed%29.png?33a443 | status=complete
[171] Gray Stucco | WORLD https://terraria.wiki.gg/images/Gray_Stucco_%28placed%29.png?8f27ac | status=complete
[172] Silly Green Balloon | WORLD https://terraria.wiki.gg/images/Silly_Green_Balloon_%28placed%29.png?920e9b | status=complete
[174] Argon Moss | INVENTORY https://terraria.wiki.gg/images/Argon_Moss.png?ab782c | status=missing_world_and_color
[174] Argon Moss | WORLD https://terraria.wiki.gg/images/Argon_Moss_%28placed%29.png?318ada | status=complete
[179] Silly Purple Balloon | WORLD https://terraria.wiki.gg/images/Silly_Purple_Balloon_%28placed%29.png?cbc349 | status=complete
[181] Neon Moss | INVENTORY https://terraria.wiki.gg/images/Neon_Moss.png?eba323 | status=missing_world_and_color
[181] Neon Moss | WORLD https://terraria.wiki.gg/images/Neon_Moss_%28placed%29.png?5d7dd0 | status=complete
[188] Helium Moss | INVENTORY https://terraria.wiki.gg/images/Helium_Moss.gif?297d2f | status=missing_world_and_color
[188] Helium Moss | WORLD https://terraria.wiki.gg/images/Helium_Moss_%28placed%29.gif?184a02 | status=complete
[194] Snow Block | INVENTORY https://terraria.wiki.gg/images/Snow_Block.png?eacdd0 | status=missing_world_and_color
[194] Snow Block | WORLD https://terraria.wiki.gg/images/Snow_Block_%28placed%29.png?e5d64d | status=complete
[198] Ice Block | WORLD https://terraria.wiki.gg/images/Ice_Block_%28placed%29.png?cac931 | status=complete
[202] Purple Ice Block | WORLD https://terraria.wiki.gg/images/Purple_Ice_Block_%28placed%29.png?4f448e | status=complete
[206] Red Ice Block | WORLD https://terraria.wiki.gg/images/Red_Ice_Block_%28placed%29.png?1b4239 | status=complete
[210] Pink Ice Block | WORLD https://terraria.wiki.gg/images/Pink_Ice_Block_%28placed%29.png?cf305d | status=complete
[249] Xenon Moss Brick | INVENTORY https://terraria.wiki.gg/images/Xenon_Moss_Brick.png?819b09 | status=missing_world_and_color
[249] Xenon Moss Brick | WORLD https://terraria.wiki.gg/images/Xenon_Moss_Brick_%28placed%29.png?567141 | status=complete
[264] Green Brick | INVENTORY https://terraria.wiki.gg/images/Green_Brick.png?74cf2b | status=complete
[266] Amethyst Stone Block | INVENTORY https://terraria.wiki.gg/images/Amethyst_Stone_Block.png?772483 | status=missing_world_and_color
[266] Amethyst Stone Block | WORLD https://terraria.wiki.gg/images/Amethyst_%28placed%29.png?42face | status=complete
[267] Pink Brick | INVENTORY https://terraria.wiki.gg/images/Pink_Brick.png?98b41f | status=complete
[272] Topaz Stone Block | INVENTORY https://terraria.wiki.gg/images/Topaz_Stone_Block.png?85416b | status=missing_world_and_color
[272] Topaz Stone Block | WORLD https://terraria.wiki.gg/images/Topaz_%28placed%29.png?e6ca0c | status=complete
[276] Cracked Green Brick | INVENTORY https://terraria.wiki.gg/images/Cracked_Green_Brick.png?6cf721 | status=complete
[278] Sapphire Stone Block | INVENTORY https://terraria.wiki.gg/images/Sapphire_Stone_Block.png?ea17e8 | status=missing_world_and_color
[278] Sapphire Stone Block | WORLD https://terraria.wiki.gg/images/Sapphire_%28placed%29.png?402377 | status=complete
[279] Cracked Pink Brick | INVENTORY https://terraria.wiki.gg/images/Cracked_Pink_Brick.png?22586e | status=complete
[284] Emerald Stone Block | INVENTORY https://terraria.wiki.gg/images/Emerald_Stone_Block.png?d615ac | status=missing_world_and_color
[284] Emerald Stone Block | WORLD https://terraria.wiki.gg/images/Emerald_%28placed%29.png?40caa8 | status=complete
[290] Ruby Stone Block | INVENTORY https://terraria.wiki.gg/images/Ruby_Stone_Block.png?e3f15a | status=missing_world_and_color
[290] Ruby Stone Block | WORLD https://terraria.wiki.gg/images/Ruby_%28placed%29.png?91a206 | status=complete
[296] Diamond Stone Block | INVENTORY https://terraria.wiki.gg/images/Diamond_Stone_Block.png?a63c58 | status=missing_world_and_color
[296] Diamond Stone Block | WORLD https://terraria.wiki.gg/images/Diamond_%28placed%29.png?a402af | status=complete
[302] Amber Stone Block | INVENTORY https://terraria.wiki.gg/images/Amber_Stone_Block.png?252653 | status=missing_world_and_color
[302] Amber Stone Block | WORLD https://terraria.wiki.gg/images/Amber_%28placed%29.png?b1dedf | status=complete
[310] Snowfall Block | INVENTORY https://terraria.wiki.gg/images/Snowfall_Block.png?16448b | status=missing_world_and_color
[310] Snowfall Block | WORLD https://terraria.wiki.gg/images/Snowfall_Block_%28placed%29.gif?cfb267 | status=complete
